id,energy,valence,danceability
5d8pKJxoDlYX2SoFR6RCsm,0.6809999999999999,0.7070000000000001,0.705
4sP8BZIZKGVq6jHOSPF17A,0.119,0.249,0.365
07FUh3cxCPNQFIIp8aSWCy,0.111,0.179,0.487
6Xb5klX1nnSUxoh2AyZd54,0.89,0.9,0.674
3QP17SZh39ZVczQnopq9BE,0.235,0.0382,0.647
4L2K7JKseFCBoHMZEAszW0,0.155,0.0935,0.435
2gFBh7NnEfSeBoZZDB5d2C,0.179,0.183,0.463
0DVw5GHPCUImZ8VmRdlbmx,0.0154,0.244,0.578
64BirkPW9F4XgzoLAiOBCP,0.498,0.0592,0.475
5LAdBsIfjzAsusjc6WSLmH,0.975,0.911,0.653
62X7ld1sa8RHl4zRtSvfHf,0.249,0.111,0.5579999999999999
1ko2lVN0vKGUl9zrU0qSlT,0.488,0.624,0.8029999999999999
6vG1pcmNGdG6Vu62I9nLGL,0.226,0.173,0.348
1HdIqEOl9MxoJNsz33VOvW,0.1669999999999999,0.0491,0.19
4fItBSHKBcgKWixN1Idie5,0.231,0.0485,0.247
4Hhup3YZfajcC7O0DNbwCq,0.305,0.172,0.385
2dqq3YMX6nlJKXhrjY5W4J,0.526,0.257,0.47
59WN2psjkt1tyaxjspN8fp,0.833,0.6609999999999999,0.466
4eMoWR7Lughvru6Rn97uPi,0.493,0.574,0.526
3Uz3K1Ctq6MOIDqRddKHXo,0.277,0.309,0.376
62LJFaYihsdVrrkgUOJC05,0.271,0.742,0.898
3Jrf9MHZZWx3cXBeMkZWUu,0.847,0.97,0.8059999999999999
1wHkIswzW9zGCOLDBYbHFL,0.8240000000000001,0.667,0.696
6a8U8DihiuewRpRQ2OOCVU,0.019,0.157,0.534
4pWowM3xMkRYgHsIJDf61f,0.0807,0.0394,0.394
6iQ6AKHlGjQTrpZIqfOtyK,0.441,0.389,0.5589999999999999
7v3tuzPub1Qd490tiVddwF,0.5870000000000001,0.4,0.628
2h23bjG8B3bcD47HBu6bHG,0.88,0.961,0.72
4nZSgFwgYUOyWcBX61JY6j,0.408,0.308,0.515
0oB9964bp22Bmok0Dmxlzb,0.765,0.222,0.6579999999999999
13HVjjWUZFaWilh2QUJKsP,0.311,0.246,0.546
72rHjyz3i7K90Hk1eF1f0c,0.528,0.15,0.596
0QeI79sp1vS8L3JgpEO7mD,0.93,0.376,0.309
0vK80mtYypq4dAwQelZ2Dh,0.784,0.562,0.579
1C2JiKNMjv8FaZlrgwObBJ,0.189,0.0379,0.301
0dcKsPZVWa64MvnoCes49q,0.316,0.173,0.544
2shD8wlebq8fDg6ChqOPkC,0.812,0.146,0.741
5ABnK6bOqbsIRVsrc1UBOt,0.8759999999999999,0.797,0.775
38TXeCvUUqf3PeoPvnERV6,0.931,0.6729999999999999,0.591
1Qf07UNBIu1XolBnl7XTi8,0.96,0.0392,0.614
5QGNwI8U3o9mQg7RR3yOPj,0.191,0.0365,0.238
7zWQ9qz0vAK75QBTGLZ0Wb,0.574,0.225,0.54
7Ar4G7Ci11gpt6sfH9Cgz5,0.598,0.913,0.645
528rajP3OyhornDwrsQrt4,0.907,0.408,0.475
0bMcjygjhkTVB8T4r3xCde,0.101,0.242,0.383
1QTixxvaGxwe6GF8PBwAve,0.496,0.442,0.515
2ihCaVdNZmnHZWt0fvAM7B,0.757,0.417,0.457
29IRVQao62okE22TDamSnm,0.915,0.215,0.3670000000000001
